Name,Description,Certification Date,Location,Sector,Website,Overall Score,Governance,Workers,Community,Environment,Customers
hösėg,"hösėg is a clothing brand that seeks to promote consistent and responsible consumption and they do it through their added value, for each coat they sell, they will give a coat to a child in the mountains, in communities above 3500msnm. Somos una marca de ropa que busca fomentar el consumo consecuente y responsable y lo hacemos a través de nuestro valor agregado, por cada casaca que logremos vender, entregaremos una casaca a un niño de la sierra, en comunidades por arriba de los 3500msnm","September, 2016","LIMA, Lima, Peru",Wholesale/Retail,www.socialheater.com,83.4,14.0,10.4,44.0,14.1,0.7
Yever,"Based in Yangon, Yever is a consultancy offering custom-made solutions to corporate leaders. Their team works with Myanmar companies to make their practices smarter, stronger and more sustainable. They are convinced that responsible and sustainable businesses will be instrumental in building a stronger Myanmar. They strive to provide them with the tools and insights to do so. They aim to ask themselves the right questions in order to support their clients in making better decisions. This is what drives them, their team, and their clients every single day. They rely on the trust of their clients and partners. This is an honour and they strive to deliver innovative and custom made solutions. They are their best ambassadors. They want to empower their team by training them in the best business practices and ensuring that they gain useful expertise, not only for their clients but also for their future. They also believe in spending time on pro bono work with some of their stakeholders. This enables them to access valuable knowledge, creating a better business environment and more societal value.","October, 2018","Yangon, Yangon, Myanmar",Service with Minor Environmental Footprint,www.yever.org,81.9,11.9,31.4,27.5,10.1,0.8
Green Living Enterprises,"A leading cause-marketing agency for more than 18 years, Green Living Enterprises connect conscientious consumers to brands that stand for more than maximizing profits, who understand the importance of sustainability and who strive to spread this message. Their team is led by award-winning industry experts in the fields of brand and program development; custom content; advertising, marketing and communications; and event management.","January, 2012","Toronto, Ontario, Canada",Service with Minor Environmental Footprint,www.GreenLivingEnterprises.ca,106.8,16.4,36.8,30.0,23.6,
WE DO GOOD,"WE DO GOOD develops a royalty based finance to answer to the main environmental, social and economical stakes we face today. Through a transparent and balanced funding model, WE DO GOOD democratises access to impact investing: anyone can become an investor in positive projects starting from 10 €.","August, 2019","Nantes, Pays de la Loire, France",Service with Minor Environmental Footprint,www.wedogood.co,80.4,13.0,23.4,17.2,8.5,18.1
Heart Creative,"Heart Creative is a women-owned, progressive digital marketing agency, powered by radical goodness. Since 2012, the goal is to inspire a more inclusive, accessible, and sustainable food culture—crushing the corporate norm. To do that, Heart is equipping hundreds of food, beverage and wellness brands with standout services to rise to the top and contribute to a better world.","August, 2020","Portland, Oregon, United States",Service with Minor Environmental Footprint,www.heartcreative.co,82.0,16.7,27.7,26.8,9.1,1.6
Barrett and Welsh,"Barrett and Welsh produces award-winning ideas for transit (they may be the world leader in this category), non-profits, small businesses, government, cars, beer, financial services and packaged goods. Their clients always come first. Before corner offices. Before morning coffee. Immigrant-owned.","June, 2016","Toronto, Ontario, Canada",Service with Minor Environmental Footprint,www.barrettandwelsh.com,98.6,18.4,33.7,32.6,9.0,4.7
Greenheart Business Consulting Ltd,"Greenheart Consulting exists to help businesses and investors accelerate their transition to net positive impact. Bringing together exceptional skills of strategic analysis, professionalism and communication with sound legal, industry and impact management experience, they are passionate about helping clients generate long term value and impact. They have a strong track record in: - Helping businesses develop and implement impact strategies and architecture; - Achieving B Corp certification or re-certification; - Designing, building and deploying supply chain ESG improvement models; - Advocating for change, internally and externally.","August, 2017","Yealmpton, Devon, United Kingdom",Service with Minor Environmental Footprint,www.greenheartbusiness.com,105.4,19.0,,42.3,14.4,29.7
Talleres Sustentables,"Empresa argentina de diseño y producción de muebles y objetos, fomentando los oficios, el trabajo hecho a mano y el uso de materias primas nobles y naturales. Argentine company for the design and production of furniture and objects, promoting crafts, handwork and the use of noble and natural raw materials.","February, 2020","Ciudad Autónoma de Buenos Aires, Buenos Aires, Argentina",Manufacturing,www.talleressustentables.com,86.0,12.4,34.2,19.9,17.7,1.6
ASPIRE,"ASPIRE is an online matchmaking tool for material resource exchange, based on a methodology for engaging and supporting small and medium manufacturing businesses. Joining ASPIRE's sophisticated trading platform means you're intelligently matched to potential remanufacturers, purchasers or recyclers.","August, 2020","Melbourne, Vic, Australia",Service with Minor Environmental Footprint,aspiresme.com,82.7,5.9,22.8,21.1,30.3,2.4
"Just Made Foods, LLC","While living and traveling in South America, founders of Just Made, Walter & Norka Nimocks, encountered a variety of tropical fruits. Amazed at the uniqueness of these fruits, they explored their nutritional characteristics and functional properties. Not only were these tropical juices delicious, but they offered superior health benefits. A few years later they returned to the United States with a passion for sharing the “secrets of the tropics” with their family, friends and now you! Just Made is about being ""just"" with our farmers. They created a fund to benefit farmers and their families, who produce the raw materials. For every bottle sold, Just Made gives back 5¢ to support teachers and schools in sourced farming communities.","September, 2019","Houston, Texas, United States",Manufacturing,www.justmade.com,81.2,6.2,14.1,43.3,15.0,2.5
"Roadhouse Brewing Company, LLC","Roadhouse Brewing Company strives to capture the soul of Jackson Hole in every beer they produce. Living deep isn't just a dream, it’s a passionate pursuit everyday. For those lucky enough to call Jackson “home,” and for those just visiting, there is a common thread that binds us - a desire to satisfy our primal adventurous spirit. To seek, to explore, to find, and to engage.","June, 2018","JACKSON HOLE, Wyoming, United States",Manufacturing,roadhousebrewery.com/index.php,85.4,7.0,15.8,16.7,45.8,
New Society Publishers,"New Society Publishers are an activist, solutions-oriented publisher. We bring you ideas on the cutting edge; analysis that's hard to find; inspiration for the daily struggle and practical tools to change the world.","June, 2016","Gabriola Island, British Columbia, Canada",Manufacturing,www.newsociety.com,107.8,14.6,31.1,24.1,31.2,6.6
Welcome to the Jungle,"Welcome to the Jungle is the multichannel media company that aims to inspire every individual to thrive in their professional lives. They propose a wide variety of high-quality content (articles, videos, series, podcasts, magazines or events) to help young professionals rethink their relationship with work. They have also created a content-rich website with 3000+ detailed company profiles – including photos, videos, and statistics (number of employees, gender, average age) – making valuable job search information accessible for prospective candidates. It is now way easier for them to narrow down the tribe they belong to! Aiming to propose the best possible candidate experience, they provide recruiters with Welcome Kit, an in-house applicant tracking system (ATS) that is collaborative, intuitive and efficient. Recruiters using Welcome Kit can post unlimited job offers within their company profile, and efficiently manage every candidate","July, 2020","Paris, Île-de-France, France",Service with Minor Environmental Footprint,www.welcometothejungle.com/en,80.2,14.6,33.5,16.3,11.7,4.0
Editora Voo,"Editora Voo's purpose is to promote content, stories and ideas that create a positive impact in society, by inspiring and helping their readers make a difference. Whether in their companies, communities or in their own life. All their titles are connected to a social contribution. Each copy sold generates a contribution to their literary program, as a powerful tool to social change.","November, 2018","Curitiba, Paraná, Brazil",Wholesale/Retail,editoravoo.com.br,105.6,14.8,,42.4,30.2,18.0
Kraakman Coaching,"Kraakman Coaching crea junto a sus clientes un contexto donde surge el escuchar, la capacidad y disposición de aprender, evolucionar y de ser exitoso en los quehaceres profesionales y personales. Ha comprobado con las personas y empresas con quienes ha trabajado que se acercan a la sociedad que necesitamos, donde es posible aprender y desaprender, estar más cómodamente en la incertidumbre y originar lugares de trabajo y de vida: llenos de autenticidad, pasión y propósito. Consecuentemente acompaña a las personas, tanto a nivel individual como a nivel colectivo, a compartir y liderar proyectos nuevos y generar la felicidad y plenitud tan requeridos en estos tiempos. Kraakman Coaching creates with its clients a context where listening arises, the ability and willingness to learn, evolve and be successful in professional and personal tasks. They ha verified with people and companies with whom they have worked that they approach the society we need, where it is possible to learn and unlearn, to be more comfortably in uncertainty and to create places of work and life: full of authenticity, passion and purpose. Consequently, it accompanies people, both individually and collectively, to share and lead new projects and generate the happiness and fulfillment so required in these times.","August, 2020","Concepción, Concepción, Chile",Service with Minor Environmental Footprint,https://www.kraakman.cl/,103.5,18.0,,41.1,7.8,36.5
Houwzer,"Houwzer is a modern, socially responsible real estate agency for savvy homeowners. They’ve rebuilt the real estate brokerage model around the customer with technology and a team of full service, salaried agents. Home sellers save an average of $15,000 with their listing agents, while home buyers trust their team's focus on buyer goals, not commissions. Houwzer takes pride in giving back to their communities and maintaining an average rating of 4.9 out of 5 stars from over 600 client reviews.","October, 2016","Philadelphia, Pennsylvania, United States",Service with Minor Environmental Footprint,houwzer.com,90.4,15.6,28.7,35.6,7.4,3.0
Gemma,"Gemma's services aim to:Promote efficient, responsible and sustainable management of projects , companies and organizations.Promote the development of people and welfare work teams.To encourage responsible management and effective communication , as an inclusive and productive tool.Encourage networking through partnerships and sustainable links.Integrate holistic, systemic and comprehensive view of people and organizations.","April, 2016","Montevideo, Montevideo, Uruguay",Service with Minor Environmental Footprint,www.gemma.uy,102.3,8.0,,45.1,5.1,44.1
Maia SAC,"Wasi is the only organic food company from Peru, to offer award winning, better for you, delicious products made with unique Peruvian superfoods sustainably-sourced from small farmers’ associations in the Andean region.","March, 2020","LIMA, Lima, Peru",Manufacturing,www.wasiorganics.com/en,80.7,9.9,23.2,29.0,15.3,3.0
BIRDEO,"As a leading recruitment agency specialized in CSR, sustainable development, sustainable finance, renewable energy.. Birdeo offers its services to all organisations including B Corporations for the recruitment of their new talents. Birdeo recruit for its client executives and freelances, through its plateform: people4impact.com. Birdeo est le cabinet de recrutement et de chasse de tête leader en France de la recherche de talents pour les métiers à impact positif et les nouveaux enjeux sociétaux : développement durable, RSE, économie sociale et solidaire (ESS), finance responsable, achats durables et énergies renouvelables. Birdeo accompagne ses clients sur des missions de chasse de tête, recrutement et des placements de freelances grâce à sa plateforme: people4impact.com.","June, 2016","PARIS, Ile-de-France, France",Service with Minor Environmental Footprint,www.birdeo.com,91.6,16.3,31.6,27.7,7.8,7.9
Beneficial State Bank,"Mission-driven triple-bottom-line bank under a unique nonprofit ownership model. We have branches in CA, OR, and WA, offering what you’d expect from a bank — but we exist to serve your prosperity and goals, not to profit from them.","September, 2012","Oakland, California, United States",Service with Minor Environmental Footprint,www.beneficialstate.com,176.0,20.9,29.7,48.7,20.4,56.3
Veomás Coaching,"Veoms is a women-owned company which provides the first coaching services for Southern Chile. Veoms works with people, especially women and young people who are socially vulnerable, by contributing to the development of entrepreneurship skills. Veoms also works with organizations, especially schools, by supporting and accompanying them in processes of internal management improvement, leadership and work environment. Veoms's mission is to help people and organizations achieve their goals by establishing new conversations, generating contact between people and creating innovative alternatives to overcoming challenges.","May, 2013","Puerto Varas, Los Lagos, Chile",Service with Minor Environmental Footprint,www.veomas.cl,107.9,14.1,20.3,34.3,9.8,29.1
SRI Quality System Registrar,"SRI Quality System Registrar, headquartered in Seven Fields, PA, with offices in Pittsburgh, PA, Portland, OR, Dublin, Ireland, and Tokyo, Japan, is a global Corporate Responsibility, management system assurance, and training services company, accredited by ANAB, RvA, IATF, FSSC, APMG, AA1000, and the USGBC (GBCI) to certify conformance to quality, environmental, health and safety, information security, social responsibility, and LEED systems and standards.","January, 2019","Seven Fields, Pennsylvania, United States",Service with Minor Environmental Footprint,www.sriregistrar.com,86.3,14.4,35.2,15.1,9.4,12.0
Steeped Coffee,"Steeped Coffee is the new gold standard for single-serve coffee that uses an innovative brewing method to deliver specialty coffee in a ready-to-brew Steeped Coffee Bag. Brewed similar to tea, it's the easiest way to make a perfect cup of coffee anytime, anywhere in minutes. Convenience meets quality with Steeped Coffee.","August, 2019","Scotts Valley, California, United States",Manufacturing,steepedcoffee.com,87.7,16.5,28.4,25.7,17.0,
Riverwater Partners,"Riverwater Partners LLC is an employee-owned, fee-based registered investment advisory firm providing investment advisory services and socially responsible (ESG) investment management strategies to individuals and institutional investors. Services include portfolio asset allocation and separate account management. Riverwater’s proprietary investment products are managed using a Three Pillar Approach® to identify companies with exceptional management teams operating superior businesses, and trading at attractive valuations. In addition to these more traditional investment criteria, they evaluate and engage portfolio companies on their Environmental, Social, and Governance (ESG) practices. Their unique investment approach aligns the interests of their clients, employees, and the global community, by focusing on achieving long-term sustainable financial returns in concert with long term sustainable initiatives for a better world. They are proud to be members of the US SIF and signatories to the UN PRI and CDP Worldwide. Membership provides them with thought leadership on best practices, current trends, impact, and company data, allowing us to focus their ESG lens effectively.","August, 2018","Milwaukee, Wisconsin, United States",Service with Minor Environmental Footprint,riverwaterpartners.com,144.4,11.4,24.3,50.1,6.2,52.2
ECHALE,"Echale a Tu Casa is a social housing production company that delivers affordable homes to communities through the implementation of innovations in construction, technology and finance. Echale a Tu Casa’s model aims to restructure community social networking and cure the flaws inherent in the self-building process through four pillars: Organization and Social Inclusion,Financial Education and access to Social Finance Trust,Training and Technology Appropriation,Program replication through Social Impact Franchise. Echale’s sustainable housing model brings a systemic solution for the selfbuilder families. Becoming a B Corp certifies that that both the economic and social values of our model are part of our mission and rates our effectiveness in accomplishing them. The Change We Seek In spite of unprecedented economic and demographic growth over the past several years, many developing nations are confronted with the perpetual problem of housing. Today there is a total housing deficit of over 400 million around the world. In order to cope with a flawed housing delivery system, most families construct their own homes magnifying the problem since materials are inherently expensive and financing for this segment of the market is limited. Thus, housing fails to fulfill its basic economic function of building household wealth and falls short in its social function. Echale a Tu Casa seeks to revert this vicious cycle by correcting the flaws inherent to the self-build process, thus allowing it to deliver returns on economic, social, and environmental levels. Through Echale’s innovative model, families can build their own home becoming proprietors of a patrimony that they can count on and inherit to the next generation. Securing a house provides families, and entire communities, the opportunity to focus on their development and househols wealth.","February, 2012","Mexico City, Distrito Federal, Mexico",Manufacturing,www.echale.com.mx/ingles/ingles.html,140.2,8.5,15.3,60.1,10.4,45.7
EPONYME,"Eponyme creates, manages and runs positive impact early childhood education spaces. Located in the DARWIN eco-system in Bordeaux, their commitment is to provide young children with a healthy environment and a positive education that gives pride of place to families. EPONYME manages communal crèches and LITTLE private nurseries. (www.welovelittle.com) Eponyme crée, gère et anime des lieux d'éducation de la petite enfance à impact positif. Implanté au sein de l'eco-système DARWIN à Bordeaux , notre engagement est d'offrir aux jeunes enfants un environnement sain et une éducation positive faisant la part belle aux familles. EPONYME gère des crèches de collectivité ainsi que les micro-crèches privées LITTLE. (www.welovelittle.com)","November, 2018","Bordeaux, Nouvelle-Aquitaine, France",Service with Minor Environmental Footprint,www.eponyme.pro,87.4,6.2,26.4,21.3,5.9,27.3
stok,stok partners with clients to reduce the cost of building operations and increase the value of real property.,"January, 2016","San Francisco, California, United States",Service with Minor Environmental Footprint,stok.com,106.9,14.9,31.8,24.8,33.8,1.5
"Lakefront Brewery, Inc.","Lakefront’s pioneering spirit has created many U.S. brewing-industry firsts. Among these, the brewery introduced the first beer in the United States made from 100% in-state-grown ingredients with the barley, wheat, hops and a first-of-its-kind, indigenous Wisconsin yeast strain (Wisconsinite Summer Weiss), the first certified organic brewery, producing the country’s oldest certified organic beer (Organic E.S.B.), and the first government-certified, gluten-free beer (New Grist). For over 30 years they have been committed to serving their local community, as well as those who come to share in the splendor of the city by the lake. Though they’re known across the country and around the world as a spot for folks near and far to enjoy Milwaukee’s gemuetlichkeit (warmth, friendliness, and good cheer) their priorities lie with communities nearby. Cheers.","March, 2020","Milwaukee, Wisconsin, United States",Manufacturing,lakefrontbrewery.com/,80.1,14.0,18.2,32.5,13.6,1.6
Natural Investments LLC,"Natural Investments LLC has been exclusively dedicated to socially responsible investing since 1985. They offer comprehensive portfolio management and consulting services nationwide to individuals and families, non-profits, foundations, family offices, and business 401(k) plans using values-based publicly traded and private debt and equity holdings. They literally wrote the book (or books) on socially responsible investing: The Resilient Investor: A Plan for Your Life, Not Just Your Money in 2015, Investing with Your Values: Making Money and Making a Difference in 2000, and Investing From the Heart in 1992. Since 1992, they have published on their website and at SocialFunds.com the oldest and most rigorous rating system of the environmental, social, and governance performance of sustainable and responsible mutual funds, the NI Social Rating. They maintain offices in California, Colorado, Hawaii, Kentucky, Massachusetts, Minnesota, New York, North Carolina, Oregon, South Carolina, and Washington.","December, 2007","San Francisco, California, United States",Service with Minor Environmental Footprint,www.naturalinvestments.com,136.1,13.6,,37.8,5.3,79.4
EQOSPHERE SAS,"Diagnosis of deposit potential, implementation of new on-site processes, anti-waste training and follow-up to reduce discarded volumes. Revaluation management, optimization of redistribution.Council with public authorities. Diagnostic du potentiel de gisement,mise en place de nouveaux process sur site,formation antigaspi et suivi pour réduire les volumes jetés.Gestion de la revalorisation,optimisation de la redistribution.Conseil auprès des pouvoirs publics.","September, 2018","Paris, Paris, France",Service with Minor Environmental Footprint,eqosphere.com,84.6,7.0,25.1,21.0,31.4,
De Lolita Restó Café,"In De Lolita, following the legacy left us by the grandmother Dolores, they form not only a style of work but life, with which they bring a sweetness and warmth to all who are part of their family, with the simple pleasure of the cordiality they make of this second house a beautiful example of humanity.","January, 2018","Sabaneta, Antioquia, Colombia",Wholesale/Retail,delolita.com,81.2,7.5,24.7,28.4,20.6,
Strauss Energy Ltd.,Strauss Energy is an energy enterprise that sells electricity to homeowners and the national utility grid. They do this by making solar roofing tiles that provide reliable and affordable power from renewable solar energy for the ever-rising housing demand.,"August, 2018","Nairobi, Nairobi, Kenya",Service with Significant Environmental Footprint,www.straussenergy.com,90.6,10.1,19.6,16.1,44.6,
Virginia Community Capital,"Virginia Community Capital has a mission to support community development ventures, create jobs, and build sustainable communities by providing flexible financing and advisory services in underserved markets and for low- to moderate-income people. Their focus is primarily in affordable housing, small business, mixed use development, community facilities, solar energy financing, and commercial real estate. VCC was established in 2006 as a Community Development Financial Institution (CDFI) with an initial $15 million investment under Governor Mark R. Warner. The goal was to leverage that initial investment for an economic return to underserved areas. More than $2.4 million was originated across our first seven real estate development loans. Since then? Growth, expansion and partnership. Through the power of partnerships and leverage, they have turned that $15 million seed investment into over $1.2 billion of impact in Virginia. Over the years, VCC has become known for its ability to combine the resources of national, state, and local social investors into successfully funded projects. They are, many times, the “first in” on projects designed to positively impact their community. And they’re just getting started. Let’s do more, together.","May, 2012","Richmond, Virginia, United States",Service with Minor Environmental Footprint,vacommunitycapital.org,149.3,23.9,21.3,44.3,5.4,54.2
ECOLOGICS,"Ecologics offers alternative products for a better world. In a world where sinking into garbage, Ecologics was born with the mission of offering consumers environmentally friendly options, seeking to reduce the amount of garbage generated daily and installing better consumption habits. Ecologics ofrece productos alternativos para un mundo mejor. En un mundo donde nos estamos hundiendo en basura, Ecologics nace con la misión de ofrecerle al consumidor opciones amigables con el medio ambiente buscando reducir la cantidad de basura generada a diario e instalando mejores hábitos de consumo.","June, 2020","Lima, Lima, Peru",Wholesale/Retail,ecologics.pe,81.3,14.1,13.5,22.8,29.3,1.5
One Nature LLC,"Using ecological knowledge, construction experience, and design principles, One Nature is a team of pioneering professionals who design, grow, and build research-backed, pragmatic and compelling places. One Nature's clients are trendsetting visionaries who want functional, aesthetic and environmental results. Regenerative Design. One Nature plans, designs, and oversees construction of ecologically vibrant landscapes that have net positive environmental impacts. Scientific Consulting. One Nature works as field ecologists and botanists to monitor and evaluate landscapes of all types. Scientists provide clear opinions and data that empower our clients to make land use decisions. Landscape Construction. One Nature builds small to mid-sized landscapes in the Hudson Valley and beyond, and supports other constructors whose projects require technical expertise.","February, 2016","Beacon, New York, United States",Service with Significant Environmental Footprint,www.onenaturellc.com,89.4,11.0,18.8,18.1,41.4,
Parque del Recuerdo,"Parque del Recuerdo is the first cemetery in Chile that utilizes a novel concept of landscaping in their services. Over the past 30 years, Parque del Recuerdo has helped families cope with the loss of a loved one. They are committed to provide professional support to those who need it. In the past five years, they have carried out the only existing study about Chilean culture and death. The results have been shared in the community, and they have addressed their strategies based on the needs of individuals, diversifying, for example rites and memorial services.  Since its creation, Parque del Recuerdo has become a popular green space in Santiago- which is one of the world's top ten polluted cities. The gardens are one of the many attractions to the cemetery where you can find every kind of flora and fauna. Parque del Recuerdo spans over 452.2 acres, and it is one of the few resting places for migratory birds.","March, 2014","PROVIDENCIA, Santiago, Chile",Manufacturing,www.parquedelrecuerdo.cl,86.3,14.7,24.0,22.9,24.6,
Vagabond Tours Ltd,"Since 2002, Vagabond Adventure Tours has been creating opportunities for visitors to embrace Ireland by walking, biking, horseback riding and kayaking its lands and waters, imbibing history and culture along the way. In 2013, the company was honored by National Geographic Traveler with a Top 50 Tour of a Lifetime distinction. In 2015 and 2017 Vagabond Small-Group Tours of Ireland was named the “Best Adventure Experience” at the Irish Tourism Awards. In 2017, Vagabond became Ireland’s first tour operator to achieve Ecotourism Gold Level Certification. In 2018, Vagabond Tours won The Green Tourism & Entertainment category in Ireland’s most prestigious Green (business) Awards. And in February 2019, the company won two top Irish Tourism Industry Awards for the Best Ireland Ancient East Tourism Experience and Best Environmental Tourism Innovation. And most recently, Vagabond founder Rob Rankin was appointed President of the Incoming Tour Operators Association of Ireland to help guide Irish tourism into the future.","December, 2020","Newtownmountkennedy, Wicklow, Ireland",Service with Significant Environmental Footprint,vagabondtoursofireland.com,81.0,13.8,25.6,15.1,23.5,2.8
Needo,"Needo is a consulting company that focuses on sustainability through communication and education. Needo provides advice and training in digital and corporate communication, CSR, education, hospitality, home_business integration, and social and environmental innovation. Needo serves businesses, nonprofit organizations, media, schools, universities, families and communities, and helps to implement the core principles of sustainability in personal and professional settings. Needo calls to ""live in harmony with oneself, with others and with the planet.""","December, 2012","Santiago, Santiago, Chile",Service with Minor Environmental Footprint,needo.cl,99.3,16.3,,43.0,24.3,15.5
Global Emergency Group (GEG),Global Emergency Group is a humanitarian consulting firm dedicated to enhancing the capacity of emergency humanitarian aid actors to respond to those most in need more efficiently and effectively.,"January, 2018","Winchester, Virginia, United States",Service with Minor Environmental Footprint,www.globalemergencygroup.com,87.5,11.3,19.2,14.1,,42.9
PowerDash Inc.,"Based in Cambridge, Massachusetts, PowerDash provides web-based software tools for the management and monitoring of alternative energy installations. Their software collects data in real time from energy systems such as solar photovoltaic inverters and components and wind power meters and inverters. This energy data is then processed through PowerDash’s secure web services, which provide their customers with visualization, analysis, and independent verification of their energy performance. These services enable their customers to remotely monitor their alternative energy performance, compare modeled/expected performance with actual generation, be alerted to lapses or underperformance in energy production that may indicate faults in the system, and discover optimizations if similar systems are achieving better energy performance. PowerDash is also an independent, third-party verifier for renewable energy production. They help their customers to simplify the reporting of Renewable Energy Credit (REC) and Solar Renewable Energy Credit (SREC) generation, secure rebates offered by utilities and government agencies, and ensure compliance with production tracking requirements.","January, 2017","Cambridge, Massachusetts, United States",Service with Minor Environmental Footprint,www.powerdash.com,83.6,18.6,17.3,11.5,33.1,3.0
"Agenda, LLC","Agenda is an award-winning boutique public affairs and integrated communications firm with unparalleled experience advancing key issues, interests, policies, and trends in the U.S., Europe, Africa, and across all 30 NATO member nations. Agenda specializes in developing refined and targeted engagement programs that incorporate traditional, social, digital, and earned-media campaigns designed to build broad public awareness and support – or targeted action and mobilization – by leveraging cutting-edge tools to engage key audiences. They have done this effectively for leading foundations, institutions, universities, state and federal agencies, global food providers, energy companies, tribes, and multinational organizations such as NATO and the UN. Agenda has extensive branding, marketing, advertising, public relations, advocacy, and strategic planning experience. They handle everything from multi-million-dollar, multi-market, campaigns to modest-budget efforts for a wide variety of industries, governments, and organizations. But regardless of the scale of the assignments, Agenda bring fresh thinking, perspective, and ingenuity to every challenge.","February, 2021","Albuquerque, New Mexico, United States",Service with Minor Environmental Footprint,www.agenda-global.com,85.2,9.6,32.8,19.7,5.3,17.5
Boutique Modern Ltd.,"The progressive, modular building company that places purpose & sustainability at the heart of everything we deliver. Boutique Modern is a modular buildings manufacturer who specialise in housing products for local authorities and housing associations. It is our company-wide ambition to provide truly sustainable housing products and maximise value for money for our partners and clients. Boutique Modern pride themselves on quality and design, ensuring their products create happy end-users and beautiful places. Their local scale delivery model is focussed on maximising social value and generating people-focussed community wealth.","February, 2021","Newhaven, East Sussex, United Kingdom",Manufacturing,www.boutiquemodern.co.uk,87.5,13.6,16.7,16.6,11.2,29.2
Flock Freight,"Flock Freight is reinventing the North American trucking industry by powering shared truckload shipping with cutting-edge technology. They’re setting a higher standard for corporate responsibility in an industry that’s infamous for its inefficiency. With their shared truckload service, they take a familiar concept (sharing) and apply it to the industry to help shippers and carriers create optimal shipping outcomes. By giving shippers the power to decide how their freight moves and incentivizing carriers to travel efficiently, the shared truckload approach flips the outdated freight system on its head and offers a revolutionary alternative. So far, their shared truckload solution has eliminated more than 1.5 million pounds of carbon emissions from the industry.","June, 2020","Solana Beach, California, United States",Service with Minor Environmental Footprint,www.flockfreight.com,80.1,7.9,37.4,16.1,15.7,2.8
Bubble Chamber CIC,"Bubble Chamber is a social enterprise that is completely focused on helping other social enterprises achieve the clarity they need to grow. They offer clear practical ways to create an enterprising culture, scale-up, maximise resources and grow social impact. Business coaching, a unique video curriculum, a Learning Management Platform and Peer to Peer Groups are tools used by Bubble Chamber to help create truly great social enterprises.","February, 2017","London, London, United Kingdom",Service with Minor Environmental Footprint,www.bubblechamber.net,89.4,16.3,28.1,13.1,7.2,24.5
The Fuguan Law Firm,"FUGUAN is specialized in providing legal services in the fields of not-for-profit law, charity law and social impact investment in China, for the clients of domestic NGOs (including foundations, general non-profits and social groups), international NGOs, philanthropists, social enterprises and impact investment and other companies which carry out CSR activities/charity program design. FUGUAN has gathered a group of lawyers who are passionate and ideal for the public welfare sector and not-for-profit law and they were educated in leading domestic or international law schools. They previously were lawyers or counsels of famous international or domestic law firms, companies or international organizations. They are leading legal experts in the field of non-profit law and social impact investment sector in China, and are proficient in both Chinese and English as working languages. As of June 2020, the team of FUGUAN has been providing legal services to more than 50 INGOs, covering the establishment of representative office, temporary activity filing, localization and diversification, best compliance proposal and other services. The team of FUGUAN have taken part in a variety of legislative studies and government entrusted research projects (including subjects on INGO).","July, 2020","Huangpu District, Shanghai, China",Service with Minor Environmental Footprint,www.fuguanlaw.com/en/about/founders,96.4,8.1,30.6,31.2,7.8,18.5
Avocado Green Mattress,"Avocado is redefining what it means to be a sustainable, ethical brand. Their vision is as urgent as it is aspirational—a world united by sustainability and social responsibility. They make eco-luxury, organic certified mattresses and bedding. Avocado practices radical transparency and a “farm-to-bedroom” approach; they co-own a latex farm, factory, and wool collective in India—from where they source and process raw materials. Mattresses are then handcrafted in a Los Angeles factory that they also own. Their materials, factory and finished products are GOTS/GOLS organic certified. Their mattresses are also GREENGUARD Gold certified for low emissions, MADE SAFE® certified, and have achieved STANDARD 100 by OEKO-TEX® for both human and ecological safety. As a Climate Neutral® Certified business, Avocado is the world’s first mattress brand to achieve negative carbon emissions across its entire business scope. As long standing members of 1% for the Planet, one percent of all revenue is donated to environmental nonprofit members on an annual basis.","May, 2020","Hoboken, New Jersey, United States",Wholesale/Retail,www.avocadogreenmattress.com,126.2,14.6,21.9,44.4,41.9,3.2
MySezame,"MySezame is the first social startup dedicated to training corporates on social innovation, its stakes and economical values, on new business models that disrupt their industries. They train those corporates into becoming aware of such strategies combining purpose and profit, impact and business. They aim at revolutionizing the way business is thought, developed and monitored by companies.","August, 2018","Paris, Ile de France, France",Service with Minor Environmental Footprint,www.my-sezame.fr,84.9,18.2,29.9,19.5,7.0,10.1
Valor CSR,"In 2015, Fortune 500 companies each gave an average of $47.9 million to charity. Those companies know that investing in social responsibility programs generates huge potential benefits, such as increasing revenue up to 20% or reducing employee turnover rate by up to 50%. In addition, companies are required to engage in social responsibility programs: 87% of customers expect companies to do more than make a profit. But big companies have the staffing and financial resources to make sure that they are getting the best return on their charitable investments. The typical annual cost for a corporate foundation is $200,000. Valor CSR provides small to midsize companies with the benefits of corporate social responsibility while bypassing the $200,000 entry fee. With an Instant Corporate Foundation, firms can gain the reputational and budget-control benefits of a formal corporate philanthropy program. Valor CSR also provides foundation response services and corporate philanthropy program management, for a complete solution.","March, 2017","Las Vegas, Nevada, United States",Service with Minor Environmental Footprint,www.valorcsr.com,96.9,15.8,,43.5,3.2,34.4
